external_id,source_zip,source_domain,call_direction,text_hash,pseudo_call_code,pseudo_label_confidence,should_use_for_training,rationale
2020-03-25-14-28-18_dfcdc93e-6ea4-11ea-ae61-063126baf78b_deb9868c-6ea4-11ea-9d73-a5a9dd8182ac_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,aecdf3168b1daf853c7cf31ac6b0b462864eccf0a8e24293f2b255c859c9be67,"OPENING, NEEDS_ANALYSIS, FEE_DISCUSSION, PRODUCT_PITCH, SUDDEN_HANG_UP",0.9,True,"The call includes a greeting, extensive data collection for insurance eligibility, discussion of current monthly costs, a bundling suggestion, and an abrupt termination."
4408355874_transcript,insurance_outbound.zip,insurance,outbound,8bbfb1d4ab3bc0d0f8afa70e96476d82f0b18ef092d0480190b1328dbbbf5f24,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION, WARM_LEAD",0.9,True,"Agent opens the call, pitches Medicare benefits, analyzes eligibility, discusses premiums, and identifies a warm lead for transfer."
2020-09-18-18-29-40_e7482867-ef99-41e1-9a5b-a113990ddb96_v2ATpQQNJLSGAXWt6cxeEBFN5vqmcgcvcPgfU28dCKVHqPwMUOOwMd-w_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,e9628c041072fc212817b62c7f3639c16bbbf2c4c476a903bf18b5e532918a52,"OPENING, NEEDS_ANALYSIS, PASSIVE_AGREEMENT, FOLLOW_UP_EMAIL_REQUESTED",0.9,True,"The call includes a greeting, extensive data collection for insurance eligibility, a cooperative customer, and a request to send a follow-up link via text."
5104365624_P2_transcript,insurance_outbound.zip,insurance,outbound,4d88fa0cb65136c1e0548d0c51c5993497287a074030ed136c869541187bcc2c,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION, PASSIVE_AGREEMENT",0.95,True,"The agent opens the call, pitches Medicare benefits, performs needs analysis on eligibility and health, discusses premiums/co-pays, and the customer provides passive agreement throughout."
3179469133_P2_transcript,insurance_outbound.zip,insurance,outbound,ef02afb6b096c5b16518d67da7b3d52664f54db3157cd91b82a9f22f9e246e1d,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, PASSIVE_AGREEMENT",0.9,True,"The agent opens the call, pitches potential savings, collects Medicare details for analysis, and the customer agrees to the process and expresses satisfaction with their current plan."
6106702089_transcript,insurance_outbound.zip,insurance,outbound,1e2c4183901de5e674a939d59ba121175ea20391533bdc658bb295498762b9c7,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION, WARM_LEAD",0.95,True,"Agent opens the call, pitches Medicare benefits, conducts eligibility verification, discusses costs, and the customer is highly cooperative, indicating a warm lead."
7067695799_transcript,insurance_outbound.zip,insurance,outbound,85e6d105614007f36394feb31174c21d581919838ce5cac4f52931d672206f5b,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION, WARM_LEAD",0.95,True,"Agent opens call, pitches Medicare benefits, analyzes eligibility, discusses costs, and the customer cooperatively provides personal info for a transfer."
recording-public_1051_transcript,customer_service_general_inbound.zip,customer_service,inbound,f3d096d2a5b89abf9ff507366e9d0963148c50b018f0ad03ff2522eb2c297fbe,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION, SUDDEN_HANG_UP",0.95,True,"The call contains a greeting, a pitch for insurance, health and eligibility questioning, discussion of premium costs, and ends with the agent losing the customer."
2020-09-09-18-40-22_dfbc514a-902a-4fa4-9cab-34eb41003cbb_v2Kp-9ngU6SMIzsBrOtM5tnNoMAn2mHN5M1BgwAERuR6KLOCCDDga25w_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,b3c17a5ff9c8ea3dd389ccc822c5105c26232e199dfb1017a29172eba0096d86,"OPENING, NEEDS_ANALYSIS, FEE_DISCUSSION, PRODUCT_PITCH, SUDDEN_HANG_UP",0.9,True,"The call starts with a greeting, involves extensive data gathering for insurance, discusses current monthly payments, mentions affordable quotes, and ends with a suspected disconnection."
2020-10-14-15-47-01_16ee6816-4260-41d9-a3df-7de06d1d70bc_v2pFChBt1sdRNJojH3ogsUs_pwjuMAMAo1gDe8JAc0QkglazxNAnZLQw_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,05f35409d9f19db0db62ed7d87e1cfcbb502b2814b7727f0736c5a7c2988b51a,"OPENING, NEEDS_ANALYSIS",0.9,True,The call begins with a standard greeting and consists primarily of the agent gathering personal information and military status to verify identity and eligibility.
2020-03-30-14-18-11_4a45e586-7291-11ea-bc3b-1200da9013b7_49398cec-7291-11ea-bafe-c58f45a98613_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,7c0fe7ae981891e04cf13786e771c6f75c3ff060a1983d41c728ad2fe5f4c5fc,"OPENING, NEEDS_ANALYSIS, FEE_DISCUSSION, SOFT_REJECTION, FOLLOW_UP_EMAIL_REQUESTED",0.95,True,"The call includes a greeting, data gathering about current insurance and costs, a soft rejection due to time constraints, and a request for written information."
7046360226_transcript,insurance_outbound.zip,insurance,outbound,7b6c235bd2554c142d334ef5f08814f4c3c0f0a24c9e168ef638f44aceb56d63,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION, PASSIVE_AGREEMENT",0.9,True,"The call features a greeting, a pitch for Medicare benefits, verification of eligibility (Part A/B), mentions of no additional cost, and the customer's passive agreement during data verification."
8177813141_transcript,insurance_outbound.zip,insurance,outbound,49553f3b1f59e4723a568daad92d7a6042c314f59c73b4bbf4a85f2430497b9f,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION, CURIOUS_EXPLORATION",0.95,True,"The call features a greeting, a detailed pitch of Medicare benefits, verification of eligibility and personal details, mention of zero premiums, and a specific question from the customer about benefit amounts."
2020-09-14-18-43-09_9c7b14a9-90ca-4911-94e8-073bbe0571ca_v2V_iPWqBNAKy9tj4YkWHEudHcVhVwOq0cgShSWqcqfrVqf2wY_90oCQ_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,5803b0c65d6dd709950c3723cb44ceeaa437cb25b70f80ba5f13265cd3a63ce1,"OPENING, NEEDS_ANALYSIS, OVERWHELMED_CONFUSION, PASSIVE_AGREEMENT",0.9,True,"The agent opens the call and performs a detailed needs analysis. The customer expresses confusion regarding the online link, but ultimately gives passive agreement to the process."
5042584571_transcript,insurance_outbound.zip,insurance,outbound,b69e6829bb929fea1ecc9c127be3bde08219cce5321f67d375eb143b63d4b211,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION, ENTHUSIASTIC_AGREEMENT",0.95,True,"The call contains a greeting, a pitch for Medicare benefits, eligibility screening, mention of zero cost, and highly positive customer responses."
2020-09-17-19-28-11_cd3fc057-a069-4903-9ea8-7d93e612a964_v2m49hIJT115mm-hwAZzixLHw4QnHjBAM5HAZKXLEAF37RcbDXgNIPpg_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,0818f93027aa999d6dcf967def586d052ad17b55913c7e5feb3259555014bb7d,"OPENING, NEEDS_ANALYSIS, COMPETITOR_COMPARISON, DEFENSIVE_POSTURE, SOFT_REJECTION",0.9,True,"The call features a greeting, extensive data gathering, a focus on beating a competitor's rate, the customer refusing to disclose their current provider, and a rejection of the first suggested company."
2020-04-07-19-02-37_5a10c040-7902-11ea-9a18-06ef0022aaed_58dff33a-7902-11ea-826d-970ed49bb7ca_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,771fdfbb5ea01c8008ee04730bee64d8147b6a7bba68fc5e9704b84334f7f1d5,"OPENING, SOFT_REJECTION, OBJECTION_HANDLING, NEEDS_ANALYSIS, FEE_DISCUSSION",0.95,True,"The call includes a greeting, initial customer reluctance, agent's pivot to a quote, extensive data gathering for insurance, and a mention of a monthly payment amount."
2020-05-19-15-55-12_e5cd75f4-06cb-412d-b3e0-7949186cdc63_v2GQp0-RqnWr8dfKZjJvOx5P8UbRohX0wqbfmc0lfZs4M6eVN_GoBGkA_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,d7992eb38278e599a6d366df2870ee5de733baa05d5b47bcf422f43469fb7ab3,"OPENING, NEEDS_ANALYSIS, FEE_DISCUSSION, PASSIVE_AGREEMENT",0.95,True,"The agent opens the call, conducts a thorough needs analysis including current insurance costs, and the customer cooperates by providing the requested information."
4176823066_transcript,insurance_outbound.zip,insurance,outbound,ef466ae04fc843748107e52fba7fe479ed5a2c1b11b43c737e8898efee50d9e3,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, CURIOUS_EXPLORATION, FEE_DISCUSSION",0.95,True,"The call contains a greeting, a pitch of Medicare benefits, qualifying questions for eligibility, customer inquiry about glasses, and mentions of zero cost and no copays."
9365648523_part_1_transcript,insurance_outbound.zip,insurance,outbound,ea55c08c5f1cda5fa8aaebb12e7abe3416193ada160b292b7992de0f96dc9a34,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, PASSIVE_AGREEMENT, SUSPICIOUS_PROBING",0.9,True,"Agent opens the call, pitches Medicare benefits, and performs needs analysis. The customer is mostly passive but asks about the company identity."
3304774325_part_2_transcript,insurance_outbound.zip,insurance,outbound,3e1029c21e8152e387779ddf3ed4b99159c04f01e08fc1778b16458e7eb0e95d,"OPENING, ACTIVE_LISTENING",0.7,True,"Agent greets the customer and manages a call transfer, repeatedly confirming the customer is still on the line."
8036356528_transcript,insurance_outbound.zip,insurance,outbound,085370209979a23c43bddf53cb6802246f7ba6c4f36f8d4a0a9c931ca983cae5,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION",0.9,True,"Agent opens the call, pitches Medicare upgrades, mentions no additional cost, and collects eligibility and personal details."
2020-10-06-23-18-09_f1a71bc8-2d53-4168-8af3-e1f10cf86c31_v2nO3aH5EooMPWgemcTOhXJiaMQI7SiZmc1S0YhEuegtxFgPwFm_2kBw_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,2eee36b644c0c4e219f2ac79f598b7ac02770f0a9772543042a2a9a782ded205,"OPENING, NEEDS_ANALYSIS, ACTIVE_LISTENING",0.9,True,Agent opens the call and conducts a detailed needs analysis by verifying personal info and current insurance provider.
4345695679_transcript,insurance_outbound.zip,insurance,outbound,8139fade7b28f75f09e50e73d8826c226b6226a00d000035bdbc13bbb5781a3f,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION, OBJECTION_HANDLING",0.9,True,"Agent opens, pitches benefits, discusses premiums, and handles the customer's objection that they have already updated their plan."
9035692576_P2_transcript,insurance_outbound.zip,insurance,outbound,1b491380510dde3db71082b05490848831dc545b4926bf597025a72cd3484e56,"OPENING, NEEDS_ANALYSIS, ACTIVE_LISTENING",0.9,True,Agent opens the call and performs needs analysis by collecting the Medicare ID and verifying current supplement coverage.
2020-03-30-18-04-26_e56abc66-72b0-11ea-a73f-061c0345b5f5_e4358ab0-72b0-11ea-aeb6-17c578b9e8aa_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,af56f62e89585bb71184ad937e0613cdf15c1e0da9a2c84855032a749de0f7c2,"OPENING, NEEDS_ANALYSIS",0.9,True,Contains the IVR greeting and requests for initial information like zip code to begin the quoting process.
2020-09-17-17-39-40_c215d6d7-be75-4b72-b770-d13c3cb85ed0_v2_kzy6nRJUrBDFS2HoTwCZvH1JYZG8eazpkkUPuA1QVMe1m9aoxccUQ_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,c554df36e4e4a6aecc63bbad6cd40ee9e1525a7bfc8600519ba3d81e0511b29d,"OPENING, NEEDS_ANALYSIS, FEE_DISCUSSION, PASSIVE_AGREEMENT",0.95,True,"Agent opens the call, gathers customer details and current provider info, and discusses current insurance costs."
2020-09-18-23-16-11_e20d6f4a-2e9c-4874-a11d-b594622bc2db_v2IH9kyhqF-CGQ1n7RY6AhzgvWDmUF1AGMK9gbcTwEIMthEIYK5inT4w_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,bb42743cb18162520170ce8ef2baf9dc2656981392e3ab504203ee440a62f2ed,"OPENING, NEEDS_ANALYSIS, FEE_DISCUSSION, PASSIVE_AGREEMENT",0.95,True,"Standard intake call featuring an opening, detailed needs analysis (including military and driving history), and premium discussion."
2020-09-17-19-21-29_31abf745-badf-4061-8601-ec6a3b8aa976_v2FM9GeFVi-cl8qLLUbsAaEKv9QP6QFNi387VkE9yKP8T9-werOSzRHA_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,2fd4b996c3c4a96545d5ac3e2136af797cd556d3a147971aae63ae015824795e,"OPENING, NEEDS_ANALYSIS, FEE_DISCUSSION, MISUNDERSTANDING",0.9,True,"Includes opening and needs analysis, with a discussion on rate increases and several instances of hearing-related misunderstandings."
6143488097_P2_transcript,insurance_outbound.zip,insurance,outbound,a8f557a87c55b723e169f2da69d4cdb627d335ca1cff9a206c47a3e2f418838f,"OPENING, NEEDS_ANALYSIS, PASSIVE_AGREEMENT, WARM_LEAD",0.85,True,Agent opens the call after a transfer (warm lead) and performs needs analysis by verifying Medicare ID and eligibility.
8163569158(1)_transcript,insurance_outbound.zip,insurance,outbound,c3cff8fcaa6a491c15422819f19bbbcd2cd650779cda2bad2b4d04d092a41a36,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION",0.9,True,"Agent greets the customer, pitches Medicare benefits, asks about eligibility (Part A/B), and discusses zero-cost premiums."
3145311408_transcript,insurance_outbound.zip,insurance,outbound,0fe738aae7777aa4a20deb264fecf2ceeca37125edc1904767cc4c8589337a4d,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION",0.9,True,"Agent greets the customer, presents a list of Medicare benefits, verifies eligibility, and mentions no copayments."
9365904637_P2_transcript,insurance_outbound.zip,insurance,outbound,418e1dbc0ed443c8598a203cfa5f0682333212728032a7f57e8fdd71ac974003,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, PASSIVE_AGREEMENT",0.8,True,"Agent greets the customer, mentions saving money/increasing benefits, and collects Medicare ID and coverage dates."
2020-10-29-19-02-59_95895258-26d8-4d71-ad71-88d1448eedc7_v2e96Y6OK6gbTpdku7DQdkYgYgr0IZv-taGPH3ktbWkhWkkVbp3KbVsw_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,7d8dc0721e2cffdd9d1e3bd2180d5f27e41e7d9b12c53bf5578426e26a9f4873,"OPENING, NEEDS_ANALYSIS",0.5,False,Transcript consists of IVR menus with a greeting and a request for a zip code.
recording-public_983_transcript,customer_service_general_inbound.zip,customer_service,inbound,9b8c23d402d3af0a573fcdf9834c061ceeaf3e66d007cdcf43fbb3087e1a1a5d,"OPENING, NEEDS_ANALYSIS, PASSIVE_AGREEMENT",0.9,True,"Agent greets the customer and conducts a detailed needs analysis regarding health, demographics, and current coverage."
3177482377_P2_transcript,insurance_outbound.zip,insurance,outbound,9cfb8ca6bf3a0dc59f5dcb6b4c7c03bdcdf05d4f9094796c628ba5d1e9de9917,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, PASSIVE_AGREEMENT",0.95,True,"The call includes a greeting, a pitch for additional Medicare benefits, verification of personal and insurance details, and passive agreement from the customer."
5408304078_transcript,insurance_outbound.zip,insurance,outbound,7d1aedc3287ca0a6b4c136726fda1ca295c20e10d0d582193db604b6bf116db9,"OPENING, PRODUCT_PITCH, NEEDS_ANALYSIS, FEE_DISCUSSION, PASSIVE_AGREEMENT",0.9,True,"Contains greeting, a detailed pitch for Medicare benefits, mentions of zero cost, eligibility check for Part A/B, and passive customer agreement."
2020-09-07-17-25-28_653dff9a-05db-4704-9dab-554280171650_v2oK1GxLQCDngLksUDha2ArlvsZkCMz9sOZwPU3Txpd6tqyLg8ZK-cqg_transcript,auto_insurance_customer_service_inbound.zip,insurance,inbound,fd2b69330bb22fb8cd0b4ffc57c9dc6be23da7e53c2f124291803a1ace76f743,"OPENING, NEEDS_ANALYSIS, FEE_DISCUSSION, PRODUCT_PITCH",0.95,True,"The call includes a greeting, extensive data collection on current insurance and homeownership, a question about monthly payments, and an initial offer to bundle services."
recording-public_744_transcript,customer_service_general_inbound.zip,customer_service,inbound,3c05971a0fb1de6e68fc9d302c7de62f5bfb5d5b0b539f906f76f2e51d6a3355,"OPENING, PRODUCT_PITCH, FEE_DISCUSSION, NEEDS_ANALYSIS",0.9,True,"The call includes greetings, confirmation of a specific quote price, and the collection of personal data to submit a policy application."
